Ref_base,Ref_roll
MXG_79302757,STELLA_7312785489
MXG_79305250,STELLA_7312734531
MXG_79309142,STELLA_7312743978
MXG_79309640,STELLA_7312737610
MXG_79311060,STELLA_7312752377
MXG_79332509,STELLA_7312758859
MXG_79332790,STELLA_7312731188
MXG_79332791,STELLA_7312731189
MXG_79332792,STELLA_7312731190
MXG_79337263,STELLA_7312734898
MXG_79338591,STELLA_7312734897
MXG_79364289,STELLA_7312923698
MXG_79364376,STELLA_7312803943
MXG_79364407,STELLA_7312728520
MXG_79381260,STELLA_7312815525
MXG_79381369,STELLA_7312752080
MXG_79381547,STELLA_7312782944
MXG_79381553,STELLA_7312782457
MXG_79381561,STELLA_7312782508
MXG_79381569,STELLA_7312782534
MXG_79381579,STELLA_7312788836
MXG_79392101,STELLA_7312770847
MXG_79416415,STELLA_7312785247
MXG_79419428,STELLA_7312818047
MXG_79436485,STELLA_7312782492
MXG_79444739,STELLA_7312749764
MXG_79475781,STELLA_7312765006
MXG_79479011,STELLA_7312806056
MXG_79490530,STELLA_7312755327
MXG_79494959,STELLA_7312737988
MXG_79495227,STELLA_7312782747
MXG_79495229,STELLA_7312782764
MXG_79500423,STELLA_7312728624
MXG_79501482,STELLA_7312815048
MXG_79501726,STELLA_7312737209
MXG_79501727,STELLA_7312737319
MXG_79520726,STELLA_7312782959
MXG_79526592,STELLA_7312764041
MXG_79544695,STELLA_7312788511
MXG_79578642,STELLA_7312743876
MXG_79586859,STELLA_7312806257
MXG_79603736,STELLA_7312737705
MXG_79603762,STELLA_7312737966
MXG_79603818,STELLA_7312806517
MXG_79693145,STELLA_7312788728
MXG_79798252,STELLA_7312815745
MXG_79801765,STELLA_7312758622
MXG_79819371,STELLA_7312728375
MXG_79827587,STELLA_7312785089
MXG_79889081,STELLA_7312812821
MXG_79889082,STELLA_7312812777
MXG_79903894,STELLA_7312773555
MXG_79903926,STELLA_7312788011
MXG_79924728,STELLA_7312812582
MXG_79930666,STELLA_7312782720
MXG_79950432,STELLA_7312755939
MXG_79950556,STELLA_7312806090
MXG_79950809,STELLA_7312734880
MXG_79950811,STELLA_7312734881
MXG_79950829,STELLA_7312734106
MXG_79951551,STELLA_7312776944
MXG_80068607,STELLA_7312728519
MXG_80068640,STELLA_7312737291
MXG_80068642,STELLA_7312734992
MXG_80068645,STELLA_7312737018
MXG_80068646,STELLA_7312734936
MXG_80068775,STELLA_7312755677
MXG_80068941,STELLA_7312806417
MXG_80068967,STELLA_7312794516
MXG_80068980,STELLA_7312794198
MXG_80068995,STELLA_7312803713
MXG_80069008,STELLA_7312809875
MXG_80069013,STELLA_7312809652
MXG_80069016,STELLA_7312818458
MXG_80069045,STELLA_7312812581
MXG_80069049,STELLA_7312812608
MXG_80069056,STELLA_7312812414
MXG_80069468,STELLA_7312815765
MXG_80069522,STELLA_7312773299
MXG_80069526,STELLA_7312749722
MXG_80069532,STELLA_7312749490
MXG_80069533,STELLA_7312749494
MXG_80069568,STELLA_7312752412
MXG_80069572,STELLA_7312752327
MXG_80069573,STELLA_7312752439
MXG_80069574,STELLA_7312752305
MXG_80069575,STELLA_7312752254
MXG_80069577,STELLA_7312752271
MXG_80069596,STELLA_7312833594
MXG_80069597,STELLA_7312749832
MXG_80069600,STELLA_7312755865
MXG_80069601,STELLA_7312755930
MXG_80069602,STELLA_7312755880
MXG_80069603,STELLA_7312755864
MXG_80069605,STELLA_7312755881
MXG_80069641,STELLA_7312770358
MXG_80069642,STELLA_7312770287
MXG_80069643,STELLA_7312770448
MXG_80069644,STELLA_7312770302
MXG_80069667,STELLA_7312764806
MXG_80069668,STELLA_7312764833
MXG_80069669,STELLA_7312764829
MXG_80069670,STELLA_7312764607
MXG_80069671,STELLA_7312764603
MXG_80069672,STELLA_7312764762
MXG_80069673,STELLA_7312764504
MXG_80069674,STELLA_7312764402
MXG_80069675,STELLA_7312764500
MXG_80069677,STELLA_7312764591
MXG_80069684,STELLA_7312770860
MXG_80069686,STELLA_7312770946
MXG_80071058,STELLA_7312758470
MXG_80071065,STELLA_7312758304
MXG_80103417,STELLA_7312806142
MXG_80103717,STELLA_7312773313
MXG_80103735,STELLA_7312782071
MXG_80149591,STELLA_7312815475
MXG_80149638,STELLA_7312803709
MXG_80157400,STELLA_7312758604
MXG_80182969,STELLA_7312779738
MXG_80189067,STELLA_7312752951
MXG_80205801,STELLA_7312788633
MXG_80242830,STELLA_7312761055
MXG_80245983,STELLA_7312761665
MXG_80289331,STELLA_7312809388
MXG_80334096,STELLA_7312794043
MXG_80340065,STELLA_7312758533
MXG_80342607,STELLA_7312770442
MXG_80364051,STELLA_7312758177
MXG_80364679,STELLA_7312794013
MXG_80365032,STELLA_7312737827
MXG_80408697,STELLA_7312728449
MXG_80416400,STELLA_7312782133
MXG_80422892,STELLA_7312794234
MXG_80422895,STELLA_7312794231
MXG_80422913,STELLA_7312812434
MXG_80422956,STELLA_7312815160
MXG_80422975,STELLA_7312815604
MXG_80442651,STELLA_7312749090
MXG_80447670,STELLA_7312779079
MXG_80469984,STELLA_7312803194
MXG_80471016,STELLA_7312809347
MXG_80489798,STELLA_7312749917
MXG_80496387,STELLA_7312815107
MXG_80536278,STELLA_7312764793
MXG_80536282,STELLA_7312764112
MXG_80536285,STELLA_7312764173
MXG_80536289,STELLA_7312764232
MXG_80536291,STELLA_7312764696
MXG_80536294,STELLA_7312764379
MXG_80536528,STELLA_7312728751
MXG_80536535,STELLA_7312734298
MXG_80536551,STELLA_7312728509
MXG_80536558,STELLA_7312749244
MXG_80536567,STELLA_7312752291
MXG_80536571,STELLA_7312752448
MXG_80537907,STELLA_7312758190
